label,hasPasswordField,multiplePasswordFields,manySensitiveInputs,externalPasswordForm,externalSensitiveForm,autocompleteOffSensitiveForm,hasIframe,manyForms,manyExternalIframes,highExternalLinkRatio,highExternalScriptRatio,manyHiddenSensitiveInputs,brandImpersonation,urgencyWithSensitive
1,1,0,0,1,1,1,0,0,0,0,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,0,1,1,1,0,0,0,0,0,0,0,1,1
1,0,0,1,0,1,0,1,1,1,1,1,1,0,1
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
1,1,0,1,0,0,1,1,0,0,1,1,0,1,1
1,0,0,0,0,0,0,1,1,1,1,1,0,1,0
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,1,0,1,0,1,0,0,1,0,1,0,0,1,1
1,1,0,0,1,1,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
